Network built: 131 buses, 191 lines, 16 trafos, 103 loads, 22 gens, 2 ext_grid(s)

Running AC power flow (pp.runpp) ...

=== Bus results (res_bus) ===
        vm_pu  va_degree         p_mw      q_mvar                   name  vn_kv
0    0.993271 -35.441017    82.735100   10.500000   CONNECTIVITY_NODE109  132.0
1    0.977278 -24.406522    23.638600   11.250000   CONNECTIVITY_NODE231  132.0
2    0.955718 -27.300634    58.021900   20.250100   CONNECTIVITY_NODE314  132.0
3    0.868693 -52.081131   103.150100   17.250000   CONNECTIVITY_NODE262  132.0
4    1.000000 -34.826577  -149.085000   67.749162   CONNECTIVITY_NODE421  132.0
5    0.916790 -33.975832    73.064600   20.250000   CONNECTIVITY_NODE334  132.0
6    0.885862 -33.178009    10.744800    3.750000   CONNECTIVITY_NODE585  132.0
7    1.000000 -19.047419    -7.454220  -32.596777         Bus-1678975551   33.0
8    0.952391 -56.056356    54.798300   20.250000    CONNECTIVITY_NODE55  132.0
9    0.878777 -48.064506    35.457800    6.750000  CONNECTIVITY_NODE1011  132.0
10   0.976649 -45.131277    19.340600    3.749990   CONNECTIVITY_NODE212  132.0
11   0.933419 -34.568774    63.394100   17.250000     CONNECTIVITY_NODE5  132.0
12   0.986003 -19.233490    25.787500   11.250000   CONNECTIVITY_NODE595  132.0
13   1.000000 -29.198622  -364.325000  247.335987   CONNECTIVITY_NODE659  220.0
14   1.044651 -33.883056     0.000000    0.000000           BP_SD-EH_DC1  400.0
15   1.111268 -27.935412     0.000000    0.000000              BP_SD-EH3  400.0
16   1.000000 -16.749856    -3.727110  -27.806796         Bus-1131909578   33.0
17   1.000000   0.000000 -1011.362226 -238.357689   CONNECTIVITY_NODE527  220.0
18   0.992518 -19.146206     0.000000    0.000000          Bus-107262704   33.0
19   0.951437 -44.094504    56.947200   16.500000   CONNECTIVITY_NODE732  132.0
20   1.000000  -7.936190  -204.991000 -115.271466   CONNECTIVITY_NODE450  132.0
21   0.926948 -34.103741    23.638500    5.249990   CONNECTIVITY_NODE817  132.0
22   1.000000 -45.431628    76.689600 -104.495114   CONNECTIVITY_NODE273  132.0
23   0.953309 -37.534609     2.148950    0.750000   CONNECTIVITY_NODE322  132.0
24   0.935693 -25.606052    13.968200    0.000000    CONNECTIVITY_NODE24  132.0
25   1.000000 -20.336920    -3.727110   -8.396446  CONNECTIVITY_NODE1210   33.0
26   0.845497 -53.085830    70.915700   17.250000   CONNECTIVITY_NODE477  132.0
27   0.990855 -33.720935    30.085500    5.250010   CONNECTIVITY_NODE113  132.0
28   0.914872 -39.886545     0.000000    0.000000   CONNECTIVITY_NODE310  220.0
29   0.954517 -38.092505     8.595810    2.249990   CONNECTIVITY_NODE326  132.0
30   0.991903 -40.894463    18.266200    3.000000    CONNECTIVITY_NODE51  132.0
31   1.000000 -26.924799  -304.776000   32.761635   CONNECTIVITY_NODE151  132.0
32   1.083468 -27.801487     0.000000    0.000000    BP Portheim-Espheim  400.0
33   1.028185 -28.060843     0.000000    0.000000              BP_EH-PH3  220.0
34   0.976459 -20.178293     5.372380    2.249990    CONNECTIVITY_NODE67  132.0
